date,year,property_value,zip_code,size_rank,housing_units,med_household_income,num_households,mortgage_rate,unemployment_rate
2000-01-31,2000,335689.6205,95035,97,#N/A,#N/A,#N/A,#N/A,#N/A
2000-02-29,2000,337436.2231,95035,97,#N/A,#N/A,#N/A,#N/A,#N/A
2000-03-31,2000,339860.4968,95035,97,#N/A,#N/A,#N/A,#N/A,#N/A
2000-04-30,2000,346412.5224,95035,97,#N/A,#N/A,#N/A,#N/A,#N/A
2000-05-31,2000,352869.0263,95035,97,#N/A,#N/A,#N/A,#N/A,#N/A
2000-06-30,2000,360390.4689,95035,97,#N/A,#N/A,#N/A,#N/A,#N/A
2000-07-31,2000,366725.8021,95035,97,#N/A,#N/A,#N/A,#N/A,#N/A
2000-08-31,2000,375144.7138,95035,97,#N/A,#N/A,#N/A,#N/A,#N/A
2000-09-30,2000,383858.1851,95035,97,#N/A,#N/A,#N/A,#N/A,#N/A
2000-10-31,2000,392784.496,95035,97,#N/A,#N/A,#N/A,#N/A,#N/A
2000-11-30,2000,401897.7285,95035,97,#N/A,#N/A,#N/A,#N/A,#N/A
2000-12-31,2000,410081.3333,95035,97,#N/A,#N/A,#N/A,#N/A,#N/A
2001-01-31,2001,418302.9009,95035,97,#N/A,#N/A,#N/A,#N/A,#N/A
2001-02-28,2001,425781.0619,95035,97,#N/A,#N/A,#N/A,#N/A,#N/A
2001-03-31,2001,433848.0943,95035,97,#N/A,#N/A,#N/A,#N/A,#N/A
2001-04-30,2001,441275.8924,95035,97,#N/A,#N/A,#N/A,#N/A,#N/A
2001-05-31,2001,446783.041,95035,97,#N/A,#N/A,#N/A,#N/A,#N/A
2001-06-30,2001,448937.3769,95035,97,#N/A,#N/A,#N/A,#N/A,#N/A
2001-07-31,2001,449059.1588,95035,97,#N/A,#N/A,#N/A,#N/A,#N/A
2001-08-31,2001,448281.2865,95035,97,#N/A,#N/A,#N/A,#N/A,#N/A
2001-09-30,2001,447104.6749,95035,97,#N/A,#N/A,#N/A,#N/A,#N/A
2001-10-31,2001,444585.5504,95035,97,#N/A,#N/A,#N/A,#N/A,#N/A
2001-11-30,2001,440205.5172,95035,97,#N/A,#N/A,#N/A,#N/A,#N/A
2001-12-31,2001,435265.4305,95035,97,#N/A,#N/A,#N/A,#N/A,#N/A
2002-01-31,2002,430561.4157,95035,97,#N/A,#N/A,#N/A,#N/A,#N/A
2002-02-28,2002,429025.7187,95035,97,#N/A,#N/A,#N/A,#N/A,#N/A
2002-03-31,2002,429719.4256,95035,97,#N/A,#N/A,#N/A,#N/A,#N/A
2002-04-30,2002,431780.6499,95035,97,#N/A,#N/A,#N/A,#N/A,#N/A
2002-05-31,2002,434154.8132,95035,97,#N/A,#N/A,#N/A,#N/A,#N/A
2002-06-30,2002,436522.1826,95035,97,#N/A,#N/A,#N/A,#N/A,#N/A
2002-07-31,2002,439604.5065,95035,97,#N/A,#N/A,#N/A,#N/A,#N/A
2002-08-31,2002,441510.3855,95035,97,#N/A,#N/A,#N/A,#N/A,#N/A
2002-09-30,2002,442613.3765,95035,97,#N/A,#N/A,#N/A,#N/A,#N/A
